,carat,cut,color,clarity,depth,table,x,y,z,price
4764,0.9,Good,D,SI1,63.9,57.0,6.1,6.04,3.88,3689
34142,0.33,Premium,F,VS2,62.2,58.0,4.44,4.43,2.76,854
17404,1.56,Premium,F,SI2,63.0,58.0,7.35,7.28,4.66,6971
22719,1.67,Premium,I,VS2,61.9,56.0,7.64,7.6,4.72,10736
38954,0.31,Very Good,H,VS2,61.9,58.0,4.37,4.39,2.71,489
3007,0.76,Good,G,IF,64.6,61.0,5.72,5.8,3.72,3304
4288,0.97,Premium,D,SI2,60.4,61.0,6.4,6.37,3.86,3585
10687,1.0,Good,F,SI1,64.9,57.0,6.25,6.32,4.08,4844
10121,1.01,Very Good,G,SI1,60.0,58.0,6.51,6.55,3.92,4719
567,0.9,Good,J,SI1,64.3,63.0,6.05,6.01,3.88,2832
26104,2.29,Premium,G,SI2,62.4,60.0,8.41,8.36,5.23,15366
28127,0.29,Very Good,F,VVS2,63.1,57.0,4.22,4.3,2.69,664
10927,1.04,Ideal,E,SI2,62.0,55.0,6.51,6.48,4.03,4892
24595,1.53,Ideal,G,VS2,62.8,57.0,7.48,7.43,4.63,12907
4385,0.31,Premium,D,SI1,61.2,60.0,4.35,4.41,2.68,571
39500,0.33,Ideal,E,IF,60.8,57.0,4.44,4.47,2.71,1079
33581,0.38,Ideal,G,VS1,61.3,55.8,4.65,4.71,2.87,832
2720,0.26,Ideal,E,VVS2,62.5,55.0,4.07,4.09,2.55,564
553,0.53,Ideal,F,VVS1,61.8,57.0,5.16,5.19,3.2,2830
11676,1.02,Very Good,F,SI1,63.1,55.0,6.45,6.38,4.05,5058
26156,1.92,Ideal,H,SI1,61.3,57.0,8.0,8.06,4.92,15472
23057,1.5,Premium,H,VS1,59.9,60.0,7.39,7.44,4.44,11088
36342,0.32,Ideal,G,VVS1,61.7,56.0,4.41,4.37,2.71,936
3136,0.88,Ideal,I,SI1,61.7,56.0,6.14,6.18,3.8,3328
14749,1.5,Premium,H,SI2,60.2,59.0,7.43,7.35,4.45,5937
1355,0.7,Fair,E,VS1,64.5,57.0,5.59,5.55,3.59,2964
43730,0.51,Very Good,G,VS2,62.9,58.0,5.06,5.11,3.2,1438
27533,2.03,Premium,D,SI2,62.4,59.0,8.04,7.98,5.0,18286
26225,1.52,Good,E,VS1,63.9,56.0,7.21,7.25,4.62,15649
22324,1.26,Ideal,G,VVS2,60.7,56.0,7.03,7.05,4.27,10367
11862,1.03,Premium,H,SI1,59.2,60.0,6.62,6.58,3.91,5105
10832,0.9,Ideal,G,SI1,61.9,57.0,6.16,6.19,3.82,4871
52512,0.73,Premium,F,SI1,61.7,58.0,5.74,5.7,3.53,2527
43855,0.55,Ideal,G,VS2,62.4,56.0,5.23,5.25,3.27,1448
14020,1.0,Good,G,VS2,63.1,61.0,6.33,6.38,4.01,5702
33915,0.3,Premium,E,VS2,62.0,60.0,4.26,4.23,2.63,844
33590,0.37,Premium,E,SI1,59.9,59.0,4.7,4.68,2.81,833
22703,0.3,Ideal,G,VS2,60.8,57.0,4.38,4.33,2.65,630
48675,0.54,Very Good,D,VS1,62.1,59.0,5.18,5.19,3.22,2004
51005,0.68,Premium,G,VS1,58.6,59.0,5.8,5.77,3.39,2326
34205,0.33,Premium,F,VS2,62.4,57.0,4.43,4.39,2.75,854
46371,0.71,Ideal,F,I1,60.1,57.0,5.79,5.76,3.47,1761
8098,1.04,Ideal,I,SI1,61.7,57.0,6.49,6.54,4.02,4344
19586,1.51,Very Good,I,SI1,62.8,59.0,7.17,7.26,4.53,8214
3430,0.78,Very Good,E,SI1,59.8,57.0,5.98,6.02,3.59,3385
46048,0.5,Ideal,F,VS1,61.0,56.0,5.14,5.15,3.14,1731
37576,0.32,Ideal,F,IF,60.7,56.0,4.43,4.46,2.7,990
8069,0.31,Ideal,F,VS2,61.6,56.0,4.35,4.38,2.69,583
34897,0.33,Ideal,F,VVS1,62.5,54.0,4.43,4.46,2.78,880
11201,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,4958
50072,0.72,Premium,J,VVS1,61.4,61.0,5.77,5.7,3.52,2203
39026,0.43,Very Good,G,VVS2,62.2,55.0,4.81,4.84,3.0,1056
26729,0.32,Premium,G,VS1,61.0,59.0,4.39,4.43,2.69,645
41274,0.28,Ideal,I,VS1,62.0,56.0,4.2,4.24,2.62,503
39892,0.42,Ideal,F,VS1,61.4,57.0,4.83,4.78,2.95,1103
47102,0.53,Very Good,G,VVS2,62.2,54.0,5.19,5.23,3.23,1827
5074,0.9,Fair,F,VS2,65.7,57.0,6.03,5.99,3.95,3750
46712,0.59,Ideal,D,SI1,61.3,59.0,5.36,5.4,3.3,1793
28693,0.41,Very Good,F,SI1,62.3,60.0,4.73,4.78,2.96,679
7996,1.01,Premium,G,SI2,62.0,58.0,6.41,6.37,3.96,4327
34621,0.31,Ideal,E,VS2,60.9,57.0,4.36,4.34,2.65,872
43280,0.3,Premium,G,SI2,62.5,59.0,4.31,4.27,2.68,506
19436,1.03,Very Good,F,VS1,62.8,54.1,6.39,6.48,4.05,8089
51026,0.76,Fair,H,SI1,61.9,70.0,5.84,5.77,3.59,2328
24278,2.22,Fair,G,SI2,64.4,58.0,8.32,8.15,5.3,12508
14314,1.06,Ideal,E,SI1,61.6,56.0,6.55,6.59,4.05,5798
9730,1.26,Ideal,J,SI2,62.5,53.0,6.86,6.9,4.3,4656
22641,1.51,Premium,G,SI1,62.4,62.0,7.25,7.12,4.48,10688
11903,1.15,Premium,F,SI2,61.1,57.0,6.82,6.77,4.15,5120
26639,2.03,Very Good,E,SI2,63.7,58.0,7.91,7.94,5.05,16412
33274,0.28,Very Good,I,VS1,60.9,57.0,4.22,4.25,2.58,462
50329,0.65,Good,G,VS1,60.0,60.4,5.6,5.7,3.39,2241
28285,0.33,Ideal,J,SI2,62.4,54.0,4.43,4.45,2.77,366
10674,1.07,Ideal,H,SI2,62.4,55.0,6.56,6.59,4.1,4840
46713,0.6,Good,G,VS2,64.3,57.0,5.31,5.38,3.43,1793
11505,1.06,Very Good,H,SI1,62.6,58.0,6.4,6.51,4.04,5020
12996,1.01,Premium,H,VS2,61.5,59.0,6.49,6.48,3.99,5400
447,0.71,Good,D,VS1,63.4,55.0,5.61,5.69,3.58,2816
45114,0.7,Premium,G,I1,61.9,58.0,5.74,5.69,3.54,1650
12643,1.01,Very Good,G,VS2,63.1,55.0,6.38,6.36,4.02,5294
41285,0.42,Premium,D,VVS2,59.6,59.0,4.96,4.9,2.94,1210
28798,0.3,Very Good,F,VVS1,62.5,56.0,4.27,4.31,2.68,682
6323,1.11,Very Good,H,SI2,61.5,59.0,6.56,6.61,4.05,4029
35260,0.3,Premium,G,IF,60.0,59.0,4.32,4.34,2.6,895
9061,1.0,Fair,E,SI2,65.2,59.0,6.28,6.27,4.09,4516
53705,0.6,Ideal,F,VVS2,61.0,57.0,5.43,5.46,3.32,2718
51047,0.73,Ideal,H,SI1,62.8,57.0,5.77,5.72,3.61,2330
18926,1.5,Very Good,H,SI2,62.3,60.0,7.28,7.22,4.52,7775
32404,0.37,Premium,F,SI1,62.3,59.0,4.61,4.57,2.86,791
47795,0.58,Ideal,G,VS1,60.6,56.0,5.43,5.48,3.3,1899
19243,1.59,Ideal,I,SI2,61.6,57.0,7.56,7.51,4.64,7978
13032,0.41,Premium,I,SI2,60.6,59.0,4.84,4.8,2.92,600
15380,0.3,Ideal,D,VS2,61.8,55.0,4.32,4.35,2.68,606
38792,0.31,Ideal,G,VVS1,60.6,57.0,4.4,4.38,2.66,1046
22491,1.57,Ideal,H,SI1,60.5,57.0,7.6,7.57,4.59,10521
31179,0.32,Good,E,VS1,59.5,64.0,4.42,4.45,2.64,756
21437,1.21,Premium,G,VVS2,59.6,60.0,6.91,6.89,4.11,9541
10559,1.08,Very Good,F,SI1,61.3,57.0,6.62,6.6,4.05,4816
12179,1.02,Good,E,SI1,63.2,61.0,6.31,6.37,4.01,5183
36139,0.33,Ideal,E,VS2,61.8,55.0,4.48,4.45,2.76,928
25518,2.0,Ideal,J,VS2,61.0,57.0,8.08,8.13,4.94,14323
39805,0.38,Ideal,F,VVS1,62.4,54.0,4.66,4.7,2.92,1096
5434,0.53,Very Good,D,IF,59.8,60.0,5.22,5.28,3.14,3827
22311,1.21,Ideal,E,VS1,62.4,57.0,6.75,6.83,4.24,10351
24717,0.3,Very Good,E,VS1,63.8,59.0,4.21,4.22,2.69,640
18256,1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,7415
7453,0.9,Good,H,VS1,64.1,57.0,6.07,6.04,3.88,4234
15171,1.29,Ideal,J,SI1,61.5,57.0,7.0,7.06,4.32,6097
31049,0.4,Ideal,I,VVS2,62.6,54.0,4.69,4.73,2.95,751
37037,0.38,Premium,H,VVS1,61.2,60.0,4.68,4.7,2.87,967
40209,0.31,Premium,F,IF,60.8,59.0,4.39,4.36,2.66,1122
35400,0.41,Ideal,G,VS2,61.6,54.0,4.81,4.84,2.97,900
437,0.7,Ideal,H,SI1,61.5,55.0,5.73,5.79,3.54,2815
27073,2.01,Ideal,I,VS2,60.7,57.0,8.21,8.17,4.97,17197
3707,0.7,Premium,G,VVS2,59.3,54.0,5.89,5.78,3.46,3450
2769,0.71,Ideal,D,SI1,62.0,55.0,5.71,5.76,3.56,3252
27066,2.56,Premium,J,SI1,61.4,58.0,8.76,8.73,5.37,17186
1892,0.79,Ideal,E,SI1,62.9,55.0,5.93,5.86,3.71,3075
15810,1.01,Very Good,G,VS1,62.7,56.0,6.36,6.46,4.02,6326
26043,2.5,Ideal,J,SI2,63.8,53.0,8.56,8.5,5.45,15246
49244,0.51,Ideal,F,VS1,61.7,55.0,5.14,5.17,3.18,2085
1829,1.03,Very Good,G,I1,62.4,57.0,6.41,6.45,4.01,3060
51086,0.52,Ideal,D,VVS2,59.9,57.0,5.28,5.21,3.14,2334
9784,1.0,Fair,H,SI1,67.6,59.0,6.03,5.95,4.05,4665
1861,0.73,Very Good,E,VS2,63.1,55.0,5.77,5.71,3.62,3066
44729,0.62,Ideal,H,VS2,61.2,54.0,5.51,5.6,3.4,1616
1251,0.77,Ideal,I,SI1,61.5,56.0,5.9,5.93,3.64,2946
39411,0.41,Ideal,F,VS1,61.3,55.0,4.83,4.79,2.95,1076
47576,0.6,Premium,E,VS1,61.0,61.0,5.46,5.39,3.31,1875
8664,0.9,Premium,G,SI1,62.6,57.0,6.16,6.11,3.84,4455
15239,1.29,Premium,G,SI2,61.1,59.0,7.03,6.95,4.27,6116
41812,0.54,Premium,E,SI2,61.9,58.0,5.24,5.19,3.23,1250
47321,0.23,Very Good,D,VVS2,62.2,58.0,3.94,3.97,2.46,530
32250,0.31,Ideal,H,IF,62.2,54.0,4.38,4.4,2.73,789
50042,0.49,Ideal,E,VVS2,61.9,56.0,5.05,5.1,3.14,2199
38718,0.4,Very Good,E,VVS2,62.3,57.0,4.68,4.72,2.93,1043
43592,0.31,Ideal,H,VS2,62.0,55.0,4.36,4.38,2.71,507
16772,1.23,Ideal,H,SI1,61.5,57.0,6.92,6.89,4.25,6681
38816,0.31,Premium,G,VVS1,63.0,58.0,4.32,4.29,2.71,1046
10897,1.21,Premium,I,VS2,62.6,59.0,6.77,6.67,4.21,4884
24660,2.01,Premium,I,VS2,59.5,60.0,8.26,8.21,4.9,13003
12260,1.07,Ideal,I,VS1,62.0,57.0,6.5,6.56,4.05,5207
53108,0.8,Premium,I,VS2,62.9,61.0,5.84,5.77,3.65,2616
1599,1.2,Fair,I,I1,66.2,55.0,6.61,6.51,4.34,3011
6849,1.0,Very Good,E,SI2,62.8,59.0,6.3,6.34,3.97,4125
43304,0.45,Ideal,E,VVS2,61.9,56.0,4.95,4.91,3.05,1401
16790,1.21,Ideal,I,VS1,61.5,58.0,6.84,6.88,4.22,6691
35049,0.36,Ideal,G,VVS1,62.1,56.0,4.58,4.6,2.85,884
18695,0.4,Ideal,F,SI2,61.6,55.0,4.73,4.75,2.92,619
31013,0.35,Good,F,SI1,63.6,54.0,4.52,4.51,2.87,748
39396,0.41,Ideal,G,VVS2,61.3,56.0,4.79,4.77,2.93,1076
24049,0.38,Very Good,E,SI2,61.6,57.0,4.61,4.65,2.85,633
185,0.71,Ideal,G,SI1,60.5,56.0,5.8,5.76,3.5,2776
35351,0.42,Premium,H,SI1,59.5,57.0,5.11,4.78,2.94,898
48480,0.58,Ideal,F,VS1,61.2,57.0,5.36,5.39,3.29,1979
15489,1.02,Very Good,H,VS1,61.4,56.5,6.44,6.47,3.97,6204
34370,0.41,Ideal,F,VS2,60.8,56.0,4.8,4.81,2.92,863
4291,0.7,Premium,F,VVS1,61.9,60.0,5.68,5.63,3.5,3587
46809,0.53,Ideal,G,VS2,60.9,56.0,5.25,5.21,3.18,1807
45985,0.3,Very Good,H,VS1,62.9,56.0,4.22,4.27,2.67,526
27908,0.26,Very Good,F,VVS2,62.6,56.0,4.09,4.11,2.56,657
39389,0.41,Ideal,G,VVS1,62.2,54.0,4.79,4.82,2.99,1076
12113,1.25,Premium,J,SI1,62.0,58.0,6.9,6.88,4.27,5166
41728,0.41,Ideal,E,VVS2,62.2,54.0,4.79,4.76,2.97,1243
47976,0.29,Ideal,G,VS1,61.9,55.0,4.25,4.28,2.64,532
44705,0.57,Ideal,E,SI1,61.9,56.0,5.33,5.3,3.29,1613
40358,0.43,Premium,D,VS2,60.7,58.0,4.88,4.84,2.95,1129
42433,0.46,Premium,G,VVS2,61.3,60.0,4.94,5.01,3.05,1314
10562,1.01,Good,F,SI1,61.6,63.0,6.42,6.47,3.97,4816
19868,1.46,Ideal,E,SI2,62.3,55.0,7.29,7.25,4.53,8421
47444,0.55,Ideal,E,VS1,61.5,57.0,5.27,5.23,3.23,1857
10766,0.89,Ideal,F,VS2,61.5,55.0,6.18,6.21,3.81,4854
30471,0.41,Good,G,SI2,63.7,55.0,4.75,4.7,3.01,732
47696,0.52,Ideal,E,VS1,60.0,56.0,5.25,5.29,3.16,1883
29437,0.38,Premium,I,VS1,59.9,60.0,4.66,4.72,2.81,700
52704,0.74,Premium,H,VS2,60.2,58.0,5.92,5.88,3.55,2553
25417,2.01,Very Good,H,SI2,63.2,57.0,8.02,7.97,5.05,14150
22094,1.25,Ideal,D,VS2,62.6,56.0,6.87,6.84,4.29,10114
29967,0.31,Ideal,H,SI1,62.7,56.0,4.33,4.38,2.73,446
30990,0.37,Ideal,F,VS2,61.4,56.0,4.59,4.63,2.83,746
16155,1.04,Ideal,G,VS2,62.0,57.0,6.5,6.49,4.03,6458
6276,1.0,Good,I,SI1,63.2,56.0,6.31,6.37,4.01,4015
11467,1.11,Ideal,J,VS1,61.3,55.0,6.65,6.75,4.11,5012
35679,0.42,Very Good,F,VS1,60.9,58.0,4.84,4.88,2.96,910
53556,0.76,Ideal,F,SI2,61.5,55.0,5.87,5.9,3.62,2694
37187,0.32,Ideal,D,VVS1,61.8,56.0,4.4,4.37,2.71,973
37301,0.33,Ideal,F,IF,61.8,56.0,4.42,4.46,2.74,978
19822,1.51,Premium,H,SI2,62.4,58.0,7.36,7.31,4.58,8388
47878,0.52,Ideal,G,VVS2,62.3,55.0,5.12,5.16,3.2,1911
11080,0.93,Very Good,F,VS2,62.7,58.0,6.21,6.27,3.91,4925
19486,1.01,Premium,G,IF,63.0,60.0,6.35,6.31,3.99,8120
18950,1.21,Ideal,G,VS2,61.2,57.0,6.9,6.85,4.21,7792
50390,0.72,Very Good,E,SI2,62.3,58.0,5.7,5.76,3.57,2252
25146,2.2,Premium,I,SI2,61.8,54.0,8.45,8.4,5.2,13719
49445,0.7,Ideal,I,SI1,61.9,58.0,5.66,5.68,3.51,2110
19279,1.0,Very Good,G,IF,58.3,62.0,6.51,6.57,3.81,8002
19287,1.0,Ideal,D,VS2,62.2,54.0,6.45,6.42,4.0,8008
35448,0.32,Ideal,E,VS2,62.1,55.0,4.4,4.36,2.72,900
1253,0.78,Very Good,H,VS1,61.7,56.0,5.92,5.94,3.66,2947
41892,0.5,Good,G,VS2,59.3,65.0,5.1,5.12,3.03,1259
7697,1.01,Good,F,SI1,64.1,60.0,6.21,6.16,3.97,4276
10906,1.06,Good,I,VS1,58.8,62.0,6.65,6.72,3.93,4887
8602,1.11,Very Good,I,SI2,62.5,58.0,6.59,6.65,4.14,4442
10947,0.87,Ideal,G,VS2,61.8,56.0,6.11,6.13,3.78,4899
48626,0.7,Fair,E,SI1,57.2,66.0,5.76,5.74,3.29,2000
47,0.32,Good,H,SI2,63.8,56.0,4.36,4.38,2.79,403
7166,0.92,Ideal,E,SI1,61.4,55.0,6.29,6.25,3.85,4183
40471,0.38,Premium,D,VS1,61.9,60.0,4.66,4.62,2.87,1140
21703,0.27,Ideal,G,VVS1,62.5,56.0,4.15,4.18,2.6,627
24910,2.0,Ideal,F,SI2,61.6,57.0,8.16,8.1,5.01,13351
3953,0.7,Ideal,E,VS2,61.3,57.0,5.73,5.75,3.52,3504
8772,1.01,Good,D,SI2,65.1,57.0,6.27,6.32,4.1,4468
51286,0.72,Premium,F,SI1,59.3,59.0,5.85,5.81,3.46,2360
17309,1.05,Premium,G,VS1,61.6,58.0,6.48,6.51,4.0,6936
10904,1.21,Very Good,G,SI2,58.9,61.0,6.91,6.98,4.09,4887
25376,0.31,Ideal,E,VS2,61.7,55.0,4.38,4.41,2.71,642
50281,0.3,Very Good,H,VS1,61.9,55.0,4.32,4.37,2.69,541
20739,0.9,Ideal,D,VVS1,62.0,56.0,6.16,6.19,3.83,8979
9028,1.06,Ideal,H,SI2,60.1,59.0,6.58,6.67,3.98,4516
3816,0.7,Ideal,F,VS2,61.0,55.0,5.74,5.79,3.52,3468
20763,1.01,Very Good,E,VVS2,61.5,58.0,6.4,6.44,3.95,9002
17668,1.06,Premium,E,VS2,61.4,60.0,6.57,6.53,4.02,7123
32834,0.42,Ideal,I,VS2,61.0,54.0,4.84,4.87,2.96,807
25925,1.01,Good,D,IF,63.4,59.0,6.26,6.39,4.01,15081
23459,1.2,Ideal,F,VVS1,62.0,56.0,6.76,6.82,4.21,11455
8242,1.05,Premium,I,SI2,60.2,61.0,6.64,6.61,3.99,4374
9563,0.91,Ideal,E,SI1,61.9,55.0,6.18,6.22,3.84,4623
22127,1.8,Very Good,I,SI2,63.2,58.0,7.75,7.66,4.87,10161
26399,2.39,Premium,H,SI1,61.8,58.0,8.57,8.52,5.28,15917
19734,1.54,Very Good,H,SI2,62.3,56.0,7.33,7.38,4.58,8301
21577,1.51,Good,H,SI1,61.8,62.0,7.25,7.29,4.49,9681
8702,0.38,Very Good,F,SI2,61.2,57.0,4.67,4.71,2.87,585
27369,0.28,Ideal,E,VVS2,60.3,57.0,4.21,4.25,2.55,646
24517,1.58,Very Good,D,SI1,62.4,60.0,7.41,7.44,4.63,12799
15036,0.3,Very Good,F,VS2,62.9,57.0,4.26,4.29,2.69,605
746,0.33,Ideal,J,VS1,62.1,55.0,4.44,4.41,2.75,557
48354,0.56,Ideal,D,VS2,61.9,57.0,5.26,5.3,3.27,1963
10405,0.31,Premium,D,SI2,61.5,60.0,4.34,4.31,2.66,593
31100,0.3,Ideal,G,VVS1,62.2,56.0,4.27,4.31,2.67,753
3177,0.71,Very Good,E,VVS2,63.4,58.0,5.64,5.69,3.59,3340
19860,1.19,Ideal,F,VS2,62.0,57.0,6.78,6.76,4.2,8415
16913,1.41,Premium,I,SI2,62.9,59.0,7.14,7.08,4.47,6751
18168,1.25,Ideal,H,VS2,62.2,57.0,6.92,6.88,4.29,7365
6141,0.9,Premium,H,VS2,62.1,58.0,6.16,6.2,3.84,3989
21697,0.34,Premium,I,VVS1,62.6,58.0,4.45,4.47,2.79,626
32669,0.31,Premium,G,VS1,59.6,61.0,4.38,4.35,2.6,802
30075,0.32,Premium,E,SI1,60.1,60.0,4.47,4.42,2.67,720
12792,1.27,Fair,H,SI2,65.2,54.0,6.78,6.71,4.41,5334
23358,0.3,Ideal,G,SI1,62.2,55.0,4.27,4.32,2.67,422
861,0.75,Ideal,I,SI1,61.8,55.0,5.83,5.85,3.61,2871
22075,1.51,Ideal,H,SI1,61.9,58.0,7.33,7.37,4.55,10096
457,0.71,Premium,E,SI1,61.8,59.0,5.75,5.7,3.54,2817
47703,0.58,Ideal,G,VS1,62.6,54.0,5.3,5.34,3.33,1884
24914,1.28,Ideal,G,IF,61.7,56.0,6.95,6.99,4.3,13360
43800,0.58,Ideal,G,SI1,61.4,55.8,5.34,5.38,3.29,1442
28094,0.31,Premium,F,SI1,60.5,60.0,4.39,4.37,2.65,663
40607,0.23,Ideal,F,VS2,61.5,55.0,3.93,3.97,2.43,498
3302,0.8,Premium,F,VS2,62.0,61.0,5.99,5.91,3.69,3369
51713,0.72,Very Good,E,SI2,62.2,59.0,5.72,5.79,3.58,2401
31937,0.3,Ideal,F,VS2,62.3,57.0,4.33,4.3,2.69,776
20183,1.52,Premium,I,SI1,61.9,58.0,7.42,7.37,4.58,8631
45668,0.52,Ideal,E,VS2,61.4,54.0,5.23,5.2,3.2,1694
43632,0.43,Ideal,E,VVS1,61.3,57.0,4.84,4.88,2.98,1433
13128,1.02,Premium,H,VS2,60.2,62.0,6.54,6.46,3.91,5432
45229,0.46,Ideal,E,VVS2,62.6,55.0,4.92,4.95,3.09,1657
5846,1.0,Good,I,SI1,62.9,64.0,6.27,6.23,3.93,3920
19546,1.5,Good,F,SI2,59.7,61.0,7.39,7.44,4.43,8181
45516,0.58,Ideal,E,VS2,61.7,57.0,5.35,5.42,3.32,1683
13737,0.32,Ideal,F,SI1,60.6,57.0,4.45,4.49,2.71,604
45842,0.5,Good,G,VVS2,63.8,56.0,5.03,5.06,3.22,1715
38025,0.33,Premium,H,IF,61.7,59.0,4.45,4.43,2.74,1010
49792,0.85,Good,J,SI1,59.2,64.0,6.13,6.17,3.64,2163
45144,0.5,Premium,F,VS2,61.1,60.0,5.12,5.1,3.12,1654
20430,1.22,Ideal,F,VS2,61.5,57.0,6.87,6.91,4.24,8783
11434,1.09,Premium,H,VS2,61.2,58.0,6.63,6.58,4.03,5005
10105,1.07,Very Good,H,SI2,62.1,58.0,6.53,6.57,4.07,4716
19704,0.37,Premium,F,SI2,60.7,57.0,4.67,4.62,2.82,624
24027,1.64,Ideal,I,VS2,60.6,57.0,7.66,7.69,4.65,12199
16844,1.5,Ideal,G,SI2,63.0,57.0,7.31,7.2,4.57,6720
20466,1.09,Ideal,E,VS1,61.3,56.0,6.71,6.66,4.1,8809
331,0.71,Ideal,G,VS2,61.3,56.0,5.75,5.71,3.51,2803
36810,0.3,Ideal,G,IF,62.6,57.0,4.32,4.28,2.69,956
48288,0.52,Ideal,G,VVS2,61.4,55.3,5.18,5.21,3.19,1957
16275,1.23,Ideal,G,SI1,61.4,56.0,6.94,6.91,4.25,6509
16536,1.01,Premium,E,VS2,62.9,59.0,6.36,6.3,3.98,6606
920,0.72,Ideal,F,VS1,62.0,56.0,5.76,5.73,3.56,2879
42676,0.49,Very Good,D,VS2,64.0,53.0,4.94,4.99,3.18,1336
53281,0.3,Ideal,D,SI1,62.2,56.0,4.25,4.3,2.66,552
25446,2.0,Fair,H,VS1,66.0,56.0,7.79,7.72,5.12,14199
53912,0.61,Premium,F,VVS1,61.8,59.0,5.48,5.4,3.36,2753
9478,1.02,Good,H,SI1,63.5,58.0,6.36,6.39,4.05,4604
24373,0.38,Ideal,H,SI1,61.2,55.1,4.69,4.73,2.88,637
21449,1.02,Premium,F,VVS1,62.6,59.0,6.41,6.36,4.0,9550
2505,0.71,Ideal,F,VS1,62.6,57.0,5.7,5.73,3.58,3199
25493,1.5,Ideal,F,VS2,60.2,55.0,7.45,7.51,4.5,14281
13701,1.0,Premium,E,SI1,61.6,59.0,6.41,6.38,3.94,5600
12768,1.07,Premium,H,VS2,62.1,59.0,6.52,6.56,4.06,5327
51279,0.78,Fair,G,SI1,64.6,56.0,5.86,5.79,3.76,2359
38748,0.35,Premium,E,VVS1,61.0,58.0,4.52,4.56,2.77,1044
26941,2.2,Premium,H,SI2,61.1,59.0,8.41,8.35,5.12,16996
3073,0.9,Premium,D,SI2,58.1,60.0,6.26,6.24,3.63,3312
23783,2.45,Very Good,J,SI2,60.6,63.0,8.71,8.66,5.26,11843
43431,0.54,Very Good,E,SI2,60.7,56.5,5.24,5.28,3.19,1415
37006,0.33,Premium,H,VVS1,61.4,59.0,4.44,4.42,2.72,965
15344,1.01,Premium,F,VS2,60.7,60.0,6.51,6.58,3.97,6159
25785,2.0,Very Good,E,SI2,63.4,60.0,7.97,7.92,5.04,14763
9808,1.01,Very Good,H,SI1,63.3,56.0,6.35,6.39,4.03,4669
51824,0.72,Ideal,G,SI2,61.5,55.0,5.79,5.82,3.57,2420
20984,1.62,Premium,D,SI2,61.2,61.0,7.6,7.53,4.63,9199
52118,0.75,Very Good,F,SI1,60.6,60.0,5.88,5.91,3.57,2463
40800,0.43,Ideal,F,VVS2,61.9,56.0,4.82,4.84,2.99,1169
20078,1.5,Ideal,I,SI1,59.4,60.0,7.54,7.5,4.47,8555
51476,0.47,Ideal,D,VVS1,61.9,54.0,4.98,5.0,3.09,2378
20894,1.25,Very Good,G,VS1,60.7,56.0,6.93,7.01,4.23,9116
24781,1.52,Ideal,G,VS2,61.5,56.0,7.38,7.45,4.56,13153
24794,1.71,Very Good,H,SI1,60.8,56.0,7.77,7.73,4.71,13169
6583,1.03,Ideal,I,SI1,61.3,56.0,6.49,6.53,3.99,4078
19684,0.27,Premium,H,VVS2,60.7,59.0,4.21,4.19,2.55,623
39374,0.31,Ideal,F,VVS1,61.4,55.0,4.37,4.39,2.69,1074
25007,2.14,Premium,G,SI2,60.7,59.0,8.37,8.31,5.06,13540
4584,0.95,Premium,H,SI2,58.8,60.0,6.45,6.38,3.77,3652
12083,0.9,Very Good,F,VS2,62.7,58.0,6.12,6.19,3.86,5160
48421,0.61,Good,F,VS2,63.0,64.2,5.29,5.32,3.34,1971
46553,0.51,Premium,E,VS2,61.9,59.0,5.11,5.06,3.15,1781
10589,0.91,Very Good,E,VS2,61.6,58.0,6.18,6.2,3.81,4823
53450,0.7,Very Good,G,VS1,59.2,58.0,5.8,5.83,3.44,2676
22227,1.21,Very Good,F,VS2,60.1,58.0,6.85,6.92,4.14,10283
22969,1.63,Ideal,I,VS2,61.9,54.3,7.54,7.58,4.68,11019
8339,1.02,Ideal,J,VS2,61.1,58.0,6.45,6.49,3.95,4397
40102,0.33,Premium,G,VVS1,61.9,59.0,4.41,4.38,2.72,1114
21287,1.7,Ideal,H,SI2,61.2,56.0,7.71,7.64,4.7,9444
18997,1.01,Premium,G,VVS2,61.9,59.0,6.41,6.45,3.98,7821
26595,1.54,Ideal,G,VVS1,60.8,57.0,7.49,7.45,4.54,16316
13502,1.21,Premium,J,VS2,60.2,57.0,6.97,6.91,4.18,5541
51994,0.71,Ideal,G,VS2,62.9,56.0,5.73,5.68,3.59,2443
9781,0.86,Very Good,E,VS2,62.3,56.0,6.05,6.08,3.78,4665
10914,1.01,Very Good,G,SI1,63.0,57.0,6.28,6.35,3.98,4890
51856,0.79,Very Good,I,SI1,62.5,57.0,5.89,5.91,3.69,2425
49275,0.54,Ideal,G,VVS2,62.1,56.0,5.22,5.19,3.23,2090
22769,1.61,Good,E,SI2,60.9,62.0,7.46,7.57,4.58,10793
49490,0.56,Ideal,E,VS1,61.8,55.0,5.33,5.28,3.28,2117
37971,0.41,Ideal,E,VS1,61.5,56.0,4.77,4.79,2.94,1007
33296,0.31,Good,G,SI1,63.2,54.0,4.31,4.33,2.73,462
23037,0.33,Premium,D,SI2,59.5,59.0,4.5,4.48,2.67,631
52032,0.71,Good,I,VVS2,63.6,57.0,5.69,5.66,3.61,2450
45086,0.52,Ideal,E,VS2,61.3,54.0,5.21,5.2,3.19,1646
